Ticker,Brand_Name,event_date,prev_trading_day,actual_event_trading_day,next_trading_day,Tarrif_News,volume_before_event,volume_on_event,volume_after_event,pct_change_before_to_event,pct_change_event_to_after
ADDYY,adidas,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,106100,437100,292600,311.97,-33.06
AEO,american eagle outfitters,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",3242100,4038800,2185547,24.57,-45.89
AEO,american eagle outfitters,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",3242100,4038800,2185547,24.57,-45.89
AEO,american eagle outfitters,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",3751402,6011100,4525600,60.24,-24.71
AEO,american eagle outfitters,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",5931900,7464800,5273700,25.84,-29.35
AEO,american eagle outfitters,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",7464800,5273700,6308100,-29.35,19.61
AEO,american eagle outfitters,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",6308100,6642000,6069300,5.29,-8.62
AEO,american eagle outfitters,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",6444100,9632500,15705500,49.48,63.05
AEO,american eagle outfitters,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",8640800,5638900,5056400,-34.74,-10.33
AEO,american eagle outfitters,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",8059300,9400600,17254800,16.64,83.55
AEO,american eagle outfitters,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",15444500,12666200,9602300,-17.99,-24.19
AEO,american eagle outfitters,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",9602300,14977300,9134500,55.98,-39.01
AEO,american eagle outfitters,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",14977300,9134500,5543554,-39.01,-39.31
AEO,american eagle outfitters,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,9134500,5543554,5828200,-39.31,5.13
AMD,amd,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",40463400,34365300,56805497,-15.07,65.3
AMD,amd,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",40463400,34365300,56805497,-15.07,65.3
AMD,amd,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",45905400,34831700,34956300,-24.12,0.36
AMD,amd,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",38854000,54060400,27816100,39.14,-48.55
AMD,amd,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",54060400,27816100,28871800,-48.55,3.8
AMD,amd,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",28871800,33224200,38598800,15.07,16.18
AMD,amd,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",33976800,34153200,28512000,0.52,-16.52
AMD,amd,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",29012400,39824000,32738200,37.27,-17.79
AMD,amd,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",23463800,20428000,50348400,-12.94,146.47
AMD,amd,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",65728600,70515400,69687500,7.28,-1.17
AMD,amd,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",69687500,97659500,65121200,40.14,-33.32
AMD,amd,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",97659500,65121200,57840600,-33.32,-11.18
AMD,amd,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,65121200,57840600,35903100,-11.18,-37.93
AMZN,amazon,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",36110200,37186200,28587993,2.98,-23.12
AMZN,amazon,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",36110200,37186200,28587993,2.98,-23.12
AMZN,amazon,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",77454000,35373700,23681100,-54.33,-33.05
AMZN,amazon,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",42843000,60714200,38575100,41.71,-36.46
AMZN,amazon,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",60714200,38575100,49733400,-36.46,28.93
AMZN,amazon,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",49733400,59756500,62061200,20.15,3.86
AMZN,amazon,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",52387000,43592200,41145100,-16.79,-5.61
AMZN,amazon,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",31127800,32855300,27276500,5.55,-16.98
AMZN,amazon,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",41208500,53032100,95331300,28.69,79.76
AMZN,amazon,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",122951300,109327100,87450700,-11.08,-20.01
AMZN,amazon,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",87450700,116568400,68082500,33.3,-41.59
AMZN,amazon,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",116568400,68082500,50542500,-41.59,-25.76
AMZN,amazon,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,68082500,50542500,47937000,-25.76,-5.16
AXP,american express,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",2033400,1997200,1372422,-1.78,-31.28
AXP,american express,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",2033400,1997200,1372422,-1.78,-31.28
AXP,american express,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",1607100,3226400,1856100,100.76,-42.47
AXP,american express,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",2342500,5899300,2569200,151.84,-56.45
AXP,american express,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",5899300,2569200,2942900,-56.45,14.55
AXP,american express,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",2942900,3817000,4277500,29.7,12.06
AXP,american express,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",4925000,5514200,4194000,11.96,-23.94
AXP,american express,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",2767600,2578600,2312000,-6.83,-10.34
AXP,american express,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",2879800,2469900,7734400,-14.23,213.15
AXP,american express,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",8411184,6283600,4780400,-25.29,-23.92
AXP,american express,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",4780400,8636700,4795200,80.67,-44.48
AXP,american express,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",8636700,4795200,4412300,-44.48,-7.99
AXP,american express,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,4795200,4412300,3067000,-7.99,-30.49
BAMXF,bmw group,2025-02-01,2025-01-31,2025-02-03,2025-02-05,"25% tax on Canadian and Mexican exports to the US. 10% on China",116,5200,700,4382.76,-86.54
BAMXF,bmw group,2025-02-03,2025-01-31,2025-02-03,2025-02-05,"Mexico and Canada reach a deal to pause US tariffs for one month",116,5200,700,4382.76,-86.54
BAMXF,bmw group,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",1175,1000,1600,-14.89,60
BAMXF,bmw group,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",1100,1100,2900,0,163.64
BAMXF,bmw group,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",1100,2900,2700,163.64,-6.9
BAMXF,bmw group,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",2700,800,1600,-70.37,100
BAMXF,bmw group,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",0,800,1700,NULL,112.5
BAMXF,bmw group,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",0,200,1200,NULL,500
BAMXF,bmw group,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",4200,100,600,-97.62,500
BAMXF,bmw group,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",1400,7600,5900,442.86,-22.37
BAMXF,bmw group,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",5900,5600,2200,-5.08,-60.71
BAMXF,bmw group,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",5600,2200,28500,-60.71,1195.45
BAMXF,bmw group,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,2200,28500,700,1195.45,-97.54
CL,colgate palmolive,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",11099000,6877800,3973095,-38.03,-42.23
CL,colgate palmolive,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",11099000,6877800,3973095,-38.03,-42.23
CL,colgate palmolive,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",3988300,4162700,3464500,4.37,-16.77
CL,colgate palmolive,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",4729200,6107500,3446600,29.14,-43.57
CL,colgate palmolive,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",6107500,3446600,4703900,-43.57,36.48
CL,colgate palmolive,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",4703900,10097300,9790700,114.66,-3.04
CL,colgate palmolive,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",6640500,9117600,4396400,37.3,-51.78
CL,colgate palmolive,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",5173000,4700500,2956500,-9.13,-37.1
CL,colgate palmolive,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",4916200,4848600,5483400,-1.38,13.09
CL,colgate palmolive,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",7434400,7820200,5672500,5.19,-27.46
CL,colgate palmolive,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",5672500,7407000,6465500,30.58,-12.71
CL,colgate palmolive,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",7407000,6465500,5664200,-12.71,-12.39
CL,colgate palmolive,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,6465500,5664200,3658600,-12.39,-35.41
CMG,chipotle,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",8348500,10797600,15371527,29.34,42.36
CMG,chipotle,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",8348500,10797600,15371527,29.34,42.36
CMG,chipotle,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",8773600,13774600,10683400,57,-22.44
CMG,chipotle,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",12609600,13481200,8785400,6.91,-34.83
CMG,chipotle,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",13481200,8785400,13822900,-34.83,57.34
CMG,chipotle,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",13822900,24664000,19050900,78.43,-22.76
CMG,chipotle,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",12345600,10524300,12548400,-14.75,19.23
CMG,chipotle,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",11349000,12310500,12573500,8.47,2.14
CMG,chipotle,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",12136900,9909800,12624400,-18.35,27.39
CMG,chipotle,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",17905000,20912300,15425700,16.8,-26.24
CMG,chipotle,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",15425700,24587900,14332800,59.4,-41.71
CMG,chipotle,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",24587900,14332800,14462100,-41.71,0.9
CMG,chipotle,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,14332800,14462100,13960800,0.9,-3.47
COIN,coinbase,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",6514500,9483200,5867903,45.57,-38.12
COIN,coinbase,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",6514500,9483200,5867903,45.57,-38.12
COIN,coinbase,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",7868400,5506700,6874700,-30.01,24.84
COIN,coinbase,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",15958100,13016600,9554000,-18.43,-26.6
COIN,coinbase,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",13016600,9554000,8233800,-26.6,-13.82
COIN,coinbase,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",8233800,8570800,18580100,4.09,116.78
COIN,coinbase,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",11356100,9578800,9524600,-15.65,-0.57
COIN,coinbase,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",7855200,7113400,5410900,-9.44,-23.93
COIN,coinbase,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",5472900,8109600,9534400,48.18,17.57
COIN,coinbase,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",14549700,13251700,11074000,-8.92,-16.43
COIN,coinbase,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",11074000,15226400,11180000,37.5,-26.57
COIN,coinbase,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",15226400,11180000,7747000,-26.57,-30.71
